Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Toss winning,Toss Decision,First Innings Score,Fall of wickets First Innings,Second Innings Score,Fall of wickets Second Innings
Germany,Ireland,Ireland,7 wickets,Al Amerat,21-Feb-22,T20I # 1481,Ireland,Fielding,107,7,111,3
India,West Indies,India,17 runs,Eden Gardens,20-Feb-22,T20I # 1479,West indies,Fielding,184,5,167,9
Australia,Sri Lanka,Sri Lanka,5 wickets,Melbourne,20-Feb-22,T20I # 1478,Australia,Batting,154,6,155,5
Bahrain,Ireland,Ireland,21 runs,Al Amerat,19-Feb-22,T20I # 1476,Ireland,Batting,158,5,137,5
Oman,Canada,Oman,9 wickets,Al Amerat,19-Feb-22,T20I # 1475,Oman,Fielding,155,6,159,1
India,West Indies,India,8 runs,Eden Gardens,18-Feb-22,T20I # 1473,West indies,Fielding,186,5,178,3
Australia,Sri Lanka,Australia,6 wickets,Melbourne,18-Feb-22,T20I # 1470,Australia,Fielding,139,8,143,4
Oman,Nepal,Nepal,39 runs,Al Amerat,18-Feb-22,T20I # 1469,Oman,Fielding,117,8,78,10
India,West Indies,India,6 wickets,Eden Gardens,16-Feb-22,T20I # 1467,India,Fielding,157,7,162,4
Australia,Sri Lanka,Australia,6 wickets,Canberra,15-Feb-22,T20I # 1466,Australia,Fielding,121,6,14,4
Ireland,Nepal,Ireland,16 runs,Al Amerat,14-Feb-22,T20I # 1465,Nepal,Fielding,127,10,111,9
Australia,Sri Lanka,tied,-,Sydney,13-Feb-22,T20I # 1463,Sri Lanka,Fielding,164,6,164,8
Oman,Ireland,Ireland,9 wickets,Al Amerat,12-Feb-22,T20I # 1461,Ireland,Fielding,137,10,140,1
Oman,Nepal,Nepal,6 wickets,Al Amerat,11-Feb-22,T20I # 1459,Nepal,Fielding,135,6,137,4
Australia,Sri Lanka,Australia,20 runs,Sydney,11-Feb-22,T20I # 1458,Sri Lanka,Fielding,149,9,122,8
West Indies,England,West Indies,17 runs,Bridgetown,30-Jan-22,T20I # 1457,West indies,Batting,179,4,162,10
West Indies,England,England,34 runs,Bridgetown,29-Jan-22,T20I # 1456,West indies,Fielding,193,6,159,5
West Indies,England,West Indies,20 runs,Bridgetown,26-Jan-22,T20I # 1455,England,Fielding,224,5,204,9
West Indies,England,England,1 run,Bridgetown,23-Jan-22,T20I # 1454,West indies,Fielding,171,8,170,8
West Indies,England,West Indies,9 wickets,Bridgetown,22-Jan-22,T20I # 1453,West indies,Fielding,103,10,104,1
